car_id	vel	pos_x	pos_y	pvel	ppos_x	ppos_y	prob
34062_34062_352_0	10.9066389089968	17128.6669619839	20076.6335168576	10.7713880735846	17129.1025328566	20095.9446647987	0.6753190306469949
41501_41501_361_0	9.32060061068368	17128.0828661407	20050.7374757159	9.44588467098401	17129.1427297348	20097.7268038485	0.6657183160321125
34062_34062_352_0	11.0419318726448	17128.4373917142	20066.4554592368	10.7713880735846	17129.1025328566	20095.9446647987	0.6809558973031565
41501_41501_361_0	9.97660118789971	17127.8754449166	20041.5414017931	9.44588467098401	17129.1427297348	20097.7268038485	0.6912036336825249
34062_34062_352_0	9.13556977397942	17128.2474561811	20058.0346179717	10.7713880735846	17129.1025328566	20095.9446647987	0.6036086541354514
34062_34062_352_0	10.2772395685315	17128.0337844535	20048.5614263492	10.7713880735846	17129.1025328566	20095.9446647987	0.6493835876012555
46496_46496_363_0	13.7646135273848	17128.6563628468	20076.1636013602	13.450746594229	17128.9425397655	20088.8513294884	0.6844862017010448
46496_46496_363_0	13.3778041569043	17128.378227993	20063.8324202662	13.450746594229	17128.9425397655	20088.8513294884	0.6645985432709026
46496_46496_363_0	13.3999115534818	17128.0996335093	20051.4808613652	13.450746594229	17128.9425397655	20088.8513294884	0.6657279213279425
63803_63803_377_0	10.3296300601592	17128.898731175	20086.9090642313	10.3266329029254	17129.1134921412	20096.4305475339	0.670111060249628
63803_63803_377_0	11.2416803294705	17128.665007981	20076.5468856317	10.3266329029254	17129.1134921412	20096.4305475339	0.7073904141892132
58873_58873_375_0	11.3359813008237	17128.8521558504	20084.8441351012	10.8960854835987	17129.0878396342	20095.2932369612	0.6881056178570056
63803_63803_377_0	11.1632502649357	17128.4329154085	20066.2570010587	10.3266329029254	17129.1134921412	20096.4305475339	0.7041493539465514
58873_58873_375_0	10.7782646572429	17128.6280674252	20074.9091164831	10.8960854835987	17129.0878396342	20095.2932369612	0.6647162406897716
63803_63803_377_0	10.3577907713741	17128.2175689593	20056.7095602203	10.3266329029254	17129.1134921412	20096.4305475339	0.6712483569557168
58873_58873_375_0	10.9084357536199	17128.4012726427	20064.8541108071	10.8960854835987	17129.0878396342	20095.2932369612	0.6701419034224774
63803_63803_377_0	11.2515573878918	17127.9836404137	20046.3382773018	10.3266329029254	17129.1134921412	20096.4305475339	0.7077990337119872
58873_58873_375_0	11.9936107525906	17128.151916236	20053.7988296543	10.8960854835987	17129.0878396342	20095.2932369612	0.7161500585053253
58873_58873_375_0	10.0393285889818	17127.9431908609	20044.5449358582	10.8960854835987	17129.0878396342	20095.2932369612	0.6343159532193978
59430_59430_375_0	7.13015158961977	17079.5149657253	20038.3942569206	6.89574746066689	17072.7592893179	20038.2901892183	0.6804785862378712
59430_59430_375_0	6.4531227033444	17085.6291707676	20038.4884430881	6.89574746066689	17072.7592893179	20038.2901892183	0.656324549915542
59430_59430_375_0	7.22293120306901	17092.4727540082	20038.5938649497	6.89574746066689	17072.7592893179	20038.2901892183	0.683820343382134
59430_59430_375_0	6.052778062024	17098.2076404884	20038.6822079109	6.89574746066689	17072.7592893179	20038.2901892183	0.6422382533124051
59430_59430_375_0	6.53733694535664	17104.4016368451	20038.7776232223	6.89574746066689	17072.7592893179	20038.2901892183	0.6593065076366145
59430_59430_375_0	6.43200185385983	17110.4958303038	20038.8715011217	6.89574746066689	17072.7592893179	20038.2901892183	0.6555776968640119
59430_59430_375_0	7.08608178676556	17117.2095338632	20038.9572186455	6.89574746066689	17072.7592893179	20038.2901892183	0.6788939071832593
59430_59430_375_0	4.82615441466839	17121.7767925824	20038.7448538626	6.89574746066689	17072.7592893179	20038.2901892183	0.6000328486221888
63173_63173_377_0	15.6773812996741	17128.8132296489	20083.118331833	15.7625854336941	17129.139174483	20097.5691808378	0.6636539092852999
63173_63173_377_0	16.2874077063338	17128.4746018958	20068.1051823189	15.7625854336941	17129.139174483	20097.5691808378	0.7042998899917735
63173_63173_377_0	15.7703164960077	17128.1467248674	20053.5686689762	15.7625854336941	17129.139174483	20097.5691808378	0.6697761464752119
54875_54875_372_0	13.515561929846	17128.8011143843	20082.5811984265	14.0162717650764	17129.0821133284	20095.0393597054	0.6413805109701406
54875_54875_372_0	13.9912554345679	17128.5102254058	20069.6845598995	14.0162717650764	17129.0821133284	20095.0393597054	0.6668951908671644
54875_54875_372_0	13.6998305671502	17128.2253953748	20057.0565463855	14.0162717650764	17129.0821133284	20095.0393597054	0.6512080217777159
54875_54875_372_0	14.4593235818556	17127.9247748989	20043.728459392	14.0162717650764	17129.0821133284	20095.0393597054	0.6924498921128242
39763_39763_360_0	11.9953849098004	17128.7742426106	20081.3898313498	11.6933666016265	17129.0236359034	20092.4467478572	0.6825069098180451
39763_39763_360_0	12.0700500933045	17128.5232969711	20070.2640911484	11.6933666016265	17129.0236359034	20092.4467478572	0.68583152619556
39763_39763_360_0	11.4023133693553	17128.2862340925	20059.7538467615	11.6933666016265	17129.0236359034	20092.4467478572	0.6563634528543485
39763_39763_360_0	11.7753804120758	17128.0414148627	20048.8997225264	11.6933666016265	17129.0236359034	20092.4467478572	0.6727535446756723
59015_59015_375_0	8.84254144078959	17078.0195978771	20038.371221552	9.273897338802	17069.6414662424	20038.2421607658	0.6542102700726978
59015_59015_375_0	8.72817900639866	17086.2893733865	20038.4986131681	9.273897338802	17069.6414662424	20038.2421607658	0.6498819674546619
59015_59015_375_0	8.81893448052369	17094.6451378972	20038.6273294003	9.273897338802	17069.6414662424	20038.2421607658	0.6533156758009347
59015_59015_375_0	9.96174668237008	17104.0836941738	20038.7727254798	9.273897338802	17069.6414662424	20038.2421607658	0.6972812090282998
